Unnamed: 0,tconst,primaryTitle,originalTitle,runtimeMinutes,numVotes,label,year
8,tt0012349,The Kid,,68,121452.0,True,1921
30,tt0015361,Strike,,82,7695.0,True,1925
36,tt0015881,Greed,,140,9649.0,True,1924
70,tt0019412,Speedy,,85,3613.0,True,1928
73,tt0019655,Asphalt,,90,1530.0,True,1929
78,tt0020298,Queen Kelly,Queen Kelly,101,3226.0,True,1932
83,tt0021409,Under the Roofs of Paris,Sous les toits de Paris,96,2214.0,True,1930
89,tt0022100,M,M - Eine Stadt sucht einen Mörder,117,152166.0,True,1931
95,tt0022458,Tabu: A Story of the South Seas,,86,5639.0,True,1931
104,tt0023293,The Old Dark House,,72,10558.0,True,1932
106,tt0023395,East of Shanghai,,110,4225.0,False,1931
116,tt0023943,Bogus Bandits,The Devil's Brother,90,1904.0,True,1933
128,tt0024481,Queen Christina,,99,7647.0,True,1933
137,tt0025318,It's a Gift,It's a Gift,68,5252.0,True,1934
140,tt0025455,The Man from Utah,The Man from Utah,55,1108.0,False,1934
150,tt0026267,The Dawn Rider,The Dawn Rider,53,1147.0,False,1935
151,tt0026424,The Good Fairy,,98,1383.0,True,1935
155,tt0027118,An Inn in Tokyo,Tôkyô no yado,80,1362.0,True,1935
156,tt0027214,The Whole Town's Talking,,93,2665.0,True,1935
173,tt0028141,The Prisoner of Shark Island,The Prisoner of Shark Island,96,2159.0,True,1936
182,tt0028355,Theodora Goes Wild,Theodora Goes Wild,94,2458.0,True,1936
196,tt0029284,My Favorite Wife,,88,10183.0,True,1940
202,tt0029658,They Won't Forget,They Won't Forget,95,1644.0,True,1937
213,tt0030252,Hotel du Nord,Hôtel du Nord,95,2613.0,True,1938
216,tt0030522,Olympia Part One: Festival of the Nations,,121,4727.0,True,1938
232,tt0031387,The Gorilla,The Gorilla,66,1426.0,False,1939
234,tt0031477,In Name Only,In Name Only,94,2978.0,True,1939
235,tt0031507,Jesse James,Jesse James,106,4361.0,True,1939
262,tt0032432,"Edison, the Man","Edison, the Man",107,1600.0,True,1940
270,tt0032762,The Mark of Zorro,The Mark of Zorro,94,9918.0,True,1940
271,tt0032819,Murder Over New York,Murder Over New York,65,1235.0,True,1940
274,tt0032943,Pride and Prejudice,,118,8057.0,True,1940
289,tt0033717,High Sierra,High Sierra,100,16322.0,True,1941
292,tt0033766,It Started with Eve,,90,1502.0,True,1941
308,tt0034478,The Murderer Lives at Number 21,,84,3115.0,True,1942
319,tt0034891,In Which We Serve,,115,5549.0,True,1942
345,tt0036152,The Memphis Belle: A Story of a Flying Fortress,The Memphis Belle: A Story of a Flying Fortress,45,1606.0,True,1944
352,tt0036422,Thank Your Lucky Stars,Thank Your Lucky Stars,127,1863.0,True,1943
354,tt0036613,Arsenic and Old Lace,,118,69184.0,True,1943
363,tt0036962,It Happened Tomorrow,It Happened Tomorrow,85,2308.0,True,1944
371,tt0037084,The Monster Maker,,62,1075.0,False,1944
375,tt0037151,One Body Too Many,,75,1208.0,False,1944
395,tt0038107,The Southerner,The Southerner,92,3273.0,True,1945
403,tt0038577,Green for Danger,,91,4784.0,True,1946
414,tt0038913,Shoeshine,,87,7138.0,True,1946
430,tt0039416,Gentleman's Agreement,,118,15804.0,True,1947
449,tt0039895,I Became a Criminal,,101,1539.0,True,1947
462,tt0040525,The Lady from Shanghai,,87,29121.0,True,1947
481,tt0041088,Act of Violence,Act of Violence,82,4980.0,True,1948
489,tt0041507,In the Good Old Summertime,In the Good Old Summertime,102,3645.0,True,1949
504,tt0042192,All About Eve,All About Eve,138,127110.0,True,1950
